yyyymm	Index	D12	E12	b/m	tbl	AAA	BAA	lty	ntis	Rfree	infl	ltr	corpr	svar	csp	CRSP_SPvw	CRSP_SPvwx
200104	1,249.46	15.8767	42.5567	0.1224969006	0.0387	0.0720	0.0807	0.0593	-0.0029559421	0.0032250000	0.0039727582	-0.0313	-0.0128	0.0074262097	-0.0010245789	0.077766	0.076920
200105	1,255.82	15.7833	39.6733	0.1205101880	0.0362	0.0729	0.0807	0.0594	-0.0029072272	0.0030166667	0.0045223290	0.0037	0.0132	0.0025362471	-0.0011840987	0.007033	0.005492
200106	1,224.42	15.6900	36.7900	0.1252094328	0.0349	0.0718	0.0797	0.0590	0.0135745546	0.0029083333	0.0016882386	0.0085	0.0055	0.0015083692	-0.0015922058	-0.024417	-0.025095
200107	1,211.23	15.7067	33.9633	0.1249665833	0.0351	0.0713	0.0797	0.0561	0.0215073315	0.0029250000	-0.0028089888	0.0376	0.0361	0.0028995945	-0.0020270501	-0.009330	-0.010261
200108	1,133.58	15.7233	31.1367	0.1321641438	0.0336	0.0702	0.0785	0.0546	0.0115183871	0.0028000000	0.0000000000	0.0206	0.0156	0.0022214855	-0.0026412673	-0.063434	-0.064932
200109	1,040.94	15.7400	28.3100	0.1486285882	0.0264	0.0717	0.0803	0.0542	0.0106545838	0.0022000000	0.0045070423	0.0081	-0.0152	0.0071675871	-0.0018229150	-0.080426	-0.081418
200110	1,059.78	15.7400	27.1033	0.1449013996	0.0216	0.0703	0.0791	0.0506	0.0132465291	0.0018000000	-0.0033651150	0.0464	0.0437	0.0032497575	-0.0013347395	0.019558	0.018567
200111	1,139.45	15.7400	25.8967	0.1334813667	0.0187	0.0697	0.0781	0.0553	0.0115634434	0.0015583333	-0.0016882386	-0.0471	-0.0188	0.0021893512	-0.0010598798	0.078787	0.077260
200112	1,148.08	15.7400	24.6900	0.1312178459	0.0169	0.0677	0.0805	0.0575	0.0160064144	0.0014083333	-0.0039458850	-0.0183	-0.0090	0.0017979546	-0.0013361672	0.009050	0.007848
200201	1,130.20	15.7367	24.6933	0.1325605487	0.0165	0.0655	0.0787	0.0569	0.0164838335	0.0013750000	0.0022637238	0.0138	0.0175	0.0021838889	-0.0020042449	-0.014321	-0.015317
